SampleID,TimeTree_returned
11166.Cassowary.Hous.24664,Casuarius_casuarius
10684.weampp08A09,Catharus_ustulatus
10684.weampp08C05,Catharus_ustulatus
10684.weampp01E07,Catharus_ustulatus
10684.weampp16B04,Catharus_ustulatus
10684.weampp08B05,Catharus_ustulatus
11166.FD.0037.rhinoceros,Ceratotherium_simum
11166.FD.0034.rhinoceros,Ceratotherium_simum
11166.TS.003.rhinoceros,Ceratotherium_simum
11166.TS.146.rhinoceros,Ceratotherium_simum
11166.FD.0031.rhinoceros,Ceratotherium_simum
11166.fmnh.1261,Cercomela_familiaris
11166.fmnh.2817,Cercomela_familiaris
11166.fmnh.1263,Cercomela_familiaris
11166.fmnh.1266,Cercomela_familiaris
11166.fmnh.1264,Cercomela_familiaris
11212.RT2017,Cercopithecus_ascanius
11212.RT2021,Cercopithecus_ascanius
11212.RT2013,Cercopithecus_ascanius
11212.RT2135,Cercopithecus_ascanius
11212.RT2050,Cercopithecus_ascanius
11815.BN.599.FecalFTA,Chaerephon_jobimena
11815.BN.598.FecalFTA,Chaerephon_jobimena
11815.BN.596.FecalFTA,Chaerephon_jobimena
11815.BN.600.FecalFTA,Chaerephon_jobimena
11815.BN.604.FecalFTA,Chaerephon_jobimena
10684.weampp11F10,Charadrius_mongolus
10684.weampp03B06,Charadrius_mongolus
10684.weampp03A12,Charadrius_mongolus
10684.weampp16H09,Charadrius_mongolus
10684.weampp04H04,Charadrius_mongolus
1056.Cho.did.SanDi.2,Choloepus_didactylus
11166.NATL.25058.sloth,Choloepus_didactylus
11166.ZU.18242.sloth,Choloepus_didactylus
1056.Cho.did.SanDi.3,Choloepus_didactylus
1056.Cho.did.SanDi.1,Choloepus_didactylus
11166.fmnh.1044,Cisticola_anonymus
11166.fmnh.1024,Cisticola_anonymus
11166.fmnh.958,Cisticola_anonymus
11166.fmnh.956,Cisticola_anonymus
11166.fmnh.914,Cisticola_anonymus
11166.AS.215.wren,Cistothorus_palustris
11166.AS.214.wren,Cistothorus_palustris
11166.AS.102.wren,Cistothorus_palustris
11166.AS.189.wren,Cistothorus_palustris
11166.AS.113.wren,Cistothorus_palustris
11815.PWW.3407.FecalFTA,Coleura_afra
11815.PWW.3406.FecalFTA,Coleura_afra
11815.PWW.3409.FecalFTA,Coleura_afra
11815.PWW.3405.FecalFTA,Coleura_afra
11815.PWW.3414.FecalFTA,Coleura_afra
2182.VHBBC0005,Colobus_guereza
1696.VH0039B,Colobus_guereza
11212.BWC2026,Colobus_guereza
11212.BWC2341,Colobus_guereza
2182.VHBBC0006,Colobus_guereza
1773.Columb.passer6.lgi,Columbina_passerina
1773.Columb.passer2.lgi,Columbina_passerina
1773.Columb.passer4,Columbina_passerina
1773.Columb.passer7.lgi,Columbina_passerina
1773.Columb.passer10.lgi,Columbina_passerina
1773.Columb.talpa2.lgi,Columbina_talpacoti
1773.Columb.talpa4.lgi,Columbina_talpacoti
1773.Columb.talpa5.lgi,Columbina_talpacoti
1773.Columb.talpa1.lgi,Columbina_talpacoti
1773.Columb.talpa6.lgi,Columbina_talpacoti
11166.FD.0493.wildebeest,Connochaetes_taurinus
11166.FD.0153.wildebeest,Connochaetes_taurinus
11166.TS.088.wildebeest,Connochaetes_taurinus
11166.FD.0156.wildebeest,Connochaetes_taurinus
11166.FD.0162.wildebeest,Connochaetes_taurinus
11166.NATL.24322.raven,Corvus_corax
10684.weampp05G02,Corvus_corax
10684.weampp05B10,Corvus_corax
10684.weampp04F09,Corvus_corax
10684.weampp14G12,Corvus_corax
11166.NZ.16955.A.Antipodesparakeet,Cyanoramphus_unicolor
11166.NZ.16967.A.Antipodesparakeet,Cyanoramphus_unicolor
11166.NZ.16966.A.Antipodesparakeet,Cyanoramphus_unicolor
11166.NZ.16961.A.Antipodesparakeet,Cyanoramphus_unicolor
11166.NZ.17027.A.Antipodesparakeet,Cyanoramphus_unicolor
1056.Das.nov.Flori.7,Dasypus_novemcinctus
1056.Das.nov.Flori.10,Dasypus_novemcinctus
1056.Das.nov.Flor.5,Dasypus_novemcinctus
1056.Das.nov.Flor.2,Dasypus_novemcinctus
1056.Das.nov.Flor.1,Dasypus_novemcinctus
11166.vbat.DR3.anal.vbat,Desmodus_rotundus
11166.vbat.DR27.colon.vbat,Desmodus_rotundus
11166.USDA.46010,Desmodus_rotundus
11166.vbat.DR18.colon.vbat,Desmodus_rotundus
11166.USDA.46013,Desmodus_rotundus
11166.fmnh.1062,Dryoscopus_cubla
11166.fmnh.1061,Dryoscopus_cubla
11166.fmnh.2574,Dryoscopus_cubla
11166.fmnh.434,Dryoscopus_cubla
11166.fmnh.2625,Dryoscopus_cubla
11166.ZU.18240.elephant,Elephas_maximus
11166.elephant.Hous.19269,Elephas_maximus
11166.elephant.Hous.24329,Elephas_maximus
11166.ZU.18239.elephant,Elephas_maximus
11166.ZU.18243.elephant,Elephas_maximus
11815.JCK.10329.FecalFTA.2,Epomophorus_wahlbergi
11815.JCK.10363.FecalFTA,Epomophorus_wahlbergi
11815.JCK.10286.FecalFTA,Epomophorus_wahlbergi
11815.JCK.10382.FecalFTA,Epomophorus_wahlbergi
11815.JCK.10360.FecalFTA,Epomophorus_wahlbergi
10171.USA.DOM.Sunny.2.15.RNAlater,Equus_caballus
10171.USA.DOM.Scout.2.15.RNAlater,Equus_caballus
10171.Mong.DOM9,Equus_caballus
10171.Mong.DOM14,Equus_caballus
10171.USA.DOM.Cappi.2.15.RNAlater,Equus_caballus
10171.Przw.7SD.RNAL1,Equus_przewalskii
10171.Przw.3CH.RNAL1,Equus_przewalskii
10171.Przw.2NI.RNAL1,Equus_przewalskii
10171.Przw.7VE.RNAL1,Equus_przewalskii
10171.Przw.6LI.RNAL1,Equus_przewalskii
11166.TS.176.zebra,Equus_zebra
10376.Zebra2,Equus_zebra
11166.TS.099.zebra,Equus_zebra
11166.FD.02410.zebra,Equus_zebra
11166.FD.0204.zebra,Equus_zebra
11166.AS.212.lark,Eremophila_alpestris
11166.AS.185.lark,Eremophila_alpestris
10684.weampp05B02,Eremophila_alpestris
11166.AS.209.lark,Eremophila_alpestris
10684.weampp06A11,Eremophila_alpestris
10285.RightWhale.F5,Eubalaena_glacialis
10285.RightWhale.F11,Eubalaena_glacialis
10285.RightWhale.F8,Eubalaena_glacialis
10285.RightWhale.F2,Eubalaena_glacialis
10285.RightWhale.F12,Eubalaena_glacialis
11166.NATL.24094.b.tinamou,Eudromia_elegans
10684.weampp03B04,Eudromia_elegans
10684.weampp08C06,Eudromia_elegans
11166.NATL.25082.tinamou,Eudromia_elegans
10684.weampp03D07,Eudromia_elegans
11212.ERUB.13M,Eulemur_rubriventer
11212.ERUB.20M,Eulemur_rubriventer
11212.ERUB.79M,Eulemur_rubriventer
11212.ERUB.33M,Eulemur_rubriventer
11212.ERUB.108M,Eulemur_rubriventer
11166.AS.125.blackbird,Euphagus_cyanocephalus
11166.AS.220.blackbird,Euphagus_cyanocephalus
11166.AS.223.blackbird,Euphagus_cyanocephalus
11166.AS.208.blackbird,Euphagus_cyanocephalus
11166.AS.206.blackbird,Euphagus_cyanocephalus
11166.fmnh.1036,Euplectes_capensis
11166.fmnh.982,Euplectes_capensis
11166.fmnh.1201,Euplectes_capensis
11166.fmnh.1023,Euplectes_capensis
11166.fmnh.1010,Euplectes_capensis
10684.weampp15B04,Gallus_gallus
10684.weampp09E01,Gallus_gallus
10684.weampp04F01,Gallus_gallus
10684.weampp14B04,Gallus_gallus
10684.weampp01B05,Gallus_gallus
11166.UM.24896.finch,Geospiza_difficilis
11166.UM.24982.finch,Geospiza_difficilis
11166.UM.24985.finch,Geospiza_difficilis
11166.UM.25011.finch,Geospiza_difficilis
11166.UM.24994.finch,Geospiza_difficilis
1734.LD.Glosor1,Glossophaga_soricina
1734.LD.DTS1224,Glossophaga_soricina
1734.LD.Glosor2,Glossophaga_soricina
1734.LD.DTS1222,Glossophaga_soricina
1734.BD.NBS1052,Glossophaga_soricina
11212.Gor11,Gorilla_gorilla
11212.Gor6,Gorilla_gorilla
11212.Gor3,Gorilla_gorilla
11212.Gor2,Gorilla_gorilla
11212.Gor8,Gorilla_gorilla
10684.weampp04H01,Habia_fuscicauda
10684.weampp08D08,Habia_fuscicauda
10684.weampp04B12,Habia_fuscicauda
10684.weampp04G11,Habia_fuscicauda
10684.weampp04H11,Habia_fuscicauda
10684.weampp10E09,Himantopus_himantopus
11166.NZ.16888.A.blackwingedstilt,Himantopus_himantopus
10684.weampp10B12,Himantopus_himantopus
11166.NZ.16950.A.blackwingedstilt,Himantopus_himantopus
11166.NZ.16880.A.blackwingedstilt,Himantopus_himantopus
11815.PWW.3528.FecalFTA,Hipposideros_caffer
11815.PWW.3604.FecalFTA,Hipposideros_caffer
11815.PWW.3404.FecalFTA,Hipposideros_caffer
11815.PWW.3609.FecalFTA,Hipposideros_caffer
11815.PWW.3511.FecalFTA,Hipposideros_caffer
11815.PWW.3579.FecalFTA,Hipposideros_ruber
11815.PWW.3559.FecalFTA,Hipposideros_ruber
11815.PWW.3586.FecalFTA,Hipposideros_ruber
11815.PWW.3583.FecalFTA,Hipposideros_ruber
11815.PWW.3580.FecalFTA,Hipposideros_ruber
11815.PWW.3417.FecalFTA,Hipposideros_gigas
11815.PWW.3423.FecalFTA,Hipposideros_gigas
11815.PWW.3416.FecalFTA,Hipposideros_gigas
11815.PWW.3421.FecalFTA,Hipposideros_gigas
11815.PWW.3415.FecalFTA,Hipposideros_gigas
11166.FD.0174.antelope,Hippotragus_niger
11166.TS.161.antelope,Hippotragus_niger
11166.FD.0020.antelope,Hippotragus_niger
11166.FD.0019.antelope,Hippotragus_niger
11166.TS.159.antelope,Hippotragus_niger
11166.fmnh.410,Hypargos_niveoguttatus
11166.fmnh.1083,Hypargos_niveoguttatus
11166.fmnh.1206,Hypargos_niveoguttatus
11166.fmnh.1112,Hypargos_niveoguttatus
11166.fmnh.412,Hypargos_niveoguttatus
10684.weampp01A01,Hypocryptadius_cinnamomeus
10684.weampp03A02,Hypocryptadius_cinnamomeus
10684.weampp02B07,Hypocryptadius_cinnamomeus
10684.weampp02D07,Hypocryptadius_cinnamomeus
10684.weampp02C10,Hypocryptadius_cinnamomeus
11166.fmnh.945,Lagonosticta_rubricata
11166.fmnh.990,Lagonosticta_rubricata
11166.fmnh.2607,Lagonosticta_rubricata
11166.fmnh.989,Lagonosticta_rubricata
11166.fmnh.992,Lagonosticta_rubricata
10684.weampp11A03,Lagopus_muta
10684.weampp07B12,Lagopus_muta
10684.weampp11F03,Lagopus_muta
10684.weampp07D09,Lagopus_muta
10684.weampp07D12,Lagopus_muta
11212.Lc268,Lemur_catta
11212.Lc318,Lemur_catta
11212.Lc155,Lemur_catta
11212.Lc301,Lemur_catta
11212.Lc259,Lemur_catta
11166.ATL.25137.tamarin,Leontopithecus_rosalia
11166.NATL.24709.tamarin,Leontopithecus_rosalia
11166.NATL.24679.tamarin,Leontopithecus_rosalia
11166.NATL.24696.tamarin,Leontopithecus_rosalia
11166.FD.0475.tamarin,Leontopithecus_rosalia
10684.weampp08B04,Limosa_lapponica
10684.weampp08E03,Limosa_lapponica
10684.weampp05H09,Limosa_lapponica
10684.weampp09H05,Limosa_lapponica
10684.weampp04D02,Limosa_lapponica
10684.weampp03H05,Loriculus_philippensis
10684.weampp03G09,Loriculus_philippensis
10684.weampp03E10,Loriculus_philippensis
10684.weampp03E09,Loriculus_philippensis
10684.weampp03A04,Loriculus_philippensis
10925.ELE0827,Loxodonta_africana
11166.elephant.Atl.861004,Loxodonta_africana
11166.FD.0029.elephant,Loxodonta_africana
10376.AfElphSD3,Loxodonta_africana
11166.FD.18745.elephant,Loxodonta_africana
11166.TS.210.wilddog,Lycaon_pictus
11166.TS.207.wilddog,Lycaon_pictus
11166.TS.208.wilddog,Lycaon_pictus
11166.TS.209.wilddog,Lycaon_pictus
11166.FD.0268.wilddog,Lycaon_pictus
1696.CT0007.4,Macaca_thibetana
1696.CT0006.3,Macaca_thibetana
1696.CT0007.3,Macaca_thibetana
1696.CT0008.3,Macaca_thibetana
1696.CT0008.6,Macaca_thibetana
11166.TS.117.pangolin,Manis_temminckii
11166.TS.129.pangolin,Manis_temminckii
11166.TS.124.pangolin,Manis_temminckii
11166.TS.113.pangolin,Manis_temminckii
11166.TS.121.pangolin,Manis_temminckii
10684.weampp09B05,Melospiza_melodia
10684.weampp10E05,Melospiza_melodia
10684.weampp07G08,Melospiza_melodia
10684.weampp09F05,Melospiza_melodia
10684.weampp16H12,Melospiza_melodia
1056.Mel.urs.ino.SanDi.1,Melursus_ursinus
11166.NATL.24729.bear,Melursus_ursinus
11166.NATL.24710.bear,Melursus_ursinus
11166.NATL.25024.bear,Melursus_ursinus
11166.NATL.24665.bear,Melursus_ursinus
11166.fmnh.985,Merops_pusillus
11166.fmnh.922,Merops_pusillus
11166.fmnh.934,Merops_pusillus
11166.fmnh.932,Merops_pusillus
11166.fmnh.918,Merops_pusillus
11815.PWW.3501.FecalFTA,Miniopterus_africanus
11815.PWW.3437.FecalFTA,Miniopterus_africanus
11815.PWW.3497.FecalFTA,Miniopterus_africanus
11815.PWW.3429.FecalFTA,Miniopterus_africanus
11815.PWW.3448.FecalFTA,Miniopterus_africanus
11815.PWW.3572.FecalFTA.1,Miniopterus_inflatus
11815.PWW.3565.FecalFTA,Miniopterus_inflatus
11815.PWW.3562.FecalFTA,Miniopterus_inflatus
11815.PWW.3569.FecalFTA,Miniopterus_inflatus
11815.PWW.3595.FecalFTA,Miniopterus_inflatus
11815.PWW.3392.FecalFTA,Miniopterus_minor
11815.PWW.3380.FecalFTA,Miniopterus_minor
11815.PWW.3383.FecalFTA,Miniopterus_minor
11815.PWW.3384.FecalFTA,Miniopterus_minor
11815.PWW.3379.FecalFTA,Miniopterus_minor
11815.PWW.3485.FecalFTA,Miniopterus_natalensis
11815.PWW.3453.FecalFTA,Miniopterus_natalensis
11815.PWW.3484.FecalFTA,Miniopterus_natalensis
11815.PWW.3486.FecalFTA,Miniopterus_natalensis
11815.PWW.3504.FecalFTA,Miniopterus_natalensis
11166.fmnh.1066,Muscicapa_adusta
11166.fmnh.427,Muscicapa_adusta
11166.fmnh.400,Muscicapa_adusta
11166.fmnh.2643,Muscicapa_adusta
11166.fmnh.247,Muscicapa_adusta
1056.Myr.tri.Seat.1.04J06,Myrmecophaga_tridactyla
1056.Myr.tri.Seat.12.04F01,Myrmecophaga_tridactyla
1056.Myr.tri.Seat.1.03E03,Myrmecophaga_tridactyla
1056.Myr.tri.Seat.15.04D01,Myrmecophaga_tridactyla
1056.Myr.tri.Mont.2.0,Myrmecophaga_tridactyla
10925.L53L18F.CAP,Nanger_granti
10925.G28K15F.CAP,Nanger_granti
10925.G56W12F.0715A,Nanger_granti
10925.B34K23F.0715A,Nanger_granti
10925.B26L11F.0715A,Nanger_granti
1696.VH0014A,Nasalis_larvatus
1696.VH0029A,Nasalis_larvatus
1696.VH0030A,Nasalis_larvatus
1696.VH0031B,Nasalis_larvatus
1696.VH0028B,Nasalis_larvatus
11166.TAR.B40373.1,Neophoca_cinerea
11166.TAR.A20145.1,Neophoca_cinerea
11166.TAR.A20404.1,Neophoca_cinerea
11166.TAR.B50072.1,Neophoca_cinerea
11166.TAR.A90029.1,Neophoca_cinerea
11166.NZ.17009.A.kaka,Nestor_meridionalis
11166.NZ.16894.A.NorthIslandkaka,Nestor_meridionalis
11166.NZ.17005.A.kaka,Nestor_meridionalis
11166.NZ.16994.A.kaka,Nestor_meridionalis
11166.NZ.17040.A.NorthIslandkaka,Nestor_meridionalis
11166.NZ.16951.A.kea,Nestor_notabilis
