,r,p
node1953,0.549833358701255,0.014
node1913,0.17585706139818713,0.292
node1973,0.8140991732819016,0.032
node1981,0.6600225324602331,0.001
node1986,0.3551726758557198,0.002
node1995,0.4754976755958493,0.002
node2007,0.5587999621180344,0.001
node2000,0.43905463098415504,0.004
node1956,0.36711676833681867,0.003
node1912,0.20307820752477698,0.016
node2017,0.20089759283889874,0.038
node2016,0.18580678461582428,0.048
node2015,0.3770572068934746,0.002
node2041,0.6929714713184884,0.001
node2013,0.7363003208408241,0.001
node2048,0.5441883636244685,0.001
node2052,0.5694883547664505,0.001
node2062,0.09438050143734109,0.494
node2085,0.16984295120627546,0.057
node2139,-0.21969808530014007,0.458
node2138,0.15266665844886923,0.46
node2137,0.234760441274022,0.042
node2169,-0.10404476060483796,0.452
node2158,0.22595014854699294,0.055
node2192,0.1806465596112714,0.154
node2195,0.046875941027460455,0.718
node2155,0.09738170616632949,0.428
node2154,0.19552131877782336,0.115
node2235,0.4236215198863176,0.049
node2217,-0.01650979216695609,0.841
node2201,-0.05425725818590119,0.734
node2250,0.005739154097594684,0.962
node2151,-0.05937444907856815,0.63
node2150,0.17855413814728116,0.001
node2278,0.04151993359945482,0.504
node2287,0.09550839595454937,0.115
node2277,0.5636617686723553,0.001
node2147,0.5458063644330698,0.001
node2315,-0.3125596217032238,0.156
node2314,0.010014432879798899,0.953
node2313,0.06524026430355352,0.708
node2344,0.2885309051905588,0.04
node2375,0.18672780869817326,0.577
node2394,0.4768960861875953,0.072
node2409,0.4753839092608054,0.002
node2403,0.16758210176161234,0.013
node2357,0.2514080893812403,0.002
node2456,0.256448410020551,0.198
node2463,0.0808289522550142,0.724
node2468,0.220898001725399,0.057
node2493,0.4920518548174711,0.004
node2488,0.3637359104532133,0.015
node2487,0.6833747720702064,0.001
node2486,0.5040363678723669,0.001
node2532,-0.06767991058377172,0.688
node2559,0.008393501789318603,0.927
node2577,-0.26703054559529704,0.111
node2556,0.5491124344234172,0.004
node2602,0.6573988128092054,0.001
node2597,0.37423170633777453,0.001
node2595,0.4739267840484216,0.001
node2555,0.48991267420478396,0.001
node2617,0.5119967118220361,0.001
node2616,0.4711351549382322,0.001
node2542,0.28010500251415027,0.001
node2637,0.21837605001886434,0.247
node2642,0.31125152607738005,0.075
node2636,0.21303957434137244,0.143
node2682,0.2541774212781047,0.286
node2681,0.3880850663159717,0.001
node2680,0.16576078658132706,0.001
node2679,0.1432546116917181,0.001
node2688,0.13999883869017102,0.001
node2678,0.1826895472421328,0.001
node2694,0.1716012397715149,0.001
