#Sample	Metric	Value
11166.TS.099.zebra	Weighted NSTI	0.290995086741502
11166.FD.0078.eland	Weighted NSTI	0.171370603499803
11166.FD.0136.tamarin	Weighted NSTI	0.07155753866155884
11166.FD.0469.macaque	Weighted NSTI	0.08604379227362505
11166.ZU.18232.lemur	Weighted NSTI	0.18395503393176943
11166.TS.177.hyena	Weighted NSTI	0.1432539279679519
11166.ZU.18253.lemur	Weighted NSTI	0.028219312538071497
11166.FD.0198.meerkat	Weighted NSTI	0.08059658391773851
11166.ZU.18257.anteater	Weighted NSTI	0.08098085786629512
11166.FD.0093.caracal	Weighted NSTI	0.06811271271172095
11166.TS.124.pangolin	Weighted NSTI	0.021049863140124633
11166.TS.059.wildebeest	Weighted NSTI	0.18229495420080813
11166.FD.0480.saki	Weighted NSTI	0.17183736928181848
11166.ZU.18234.redpanda	Weighted NSTI	0.2997156414590773
11166.FD.0488.squirrel	Weighted NSTI	0.14192684794270144
11166.TS.005.jackal	Weighted NSTI	0.18338876831011458
11166.TS.051.springbok	Weighted NSTI	0.2029104035467435
11166.FD.0487.panda	Weighted NSTI	0.049594445488239526
11166.ZU.18268.orangutan	Weighted NSTI	0.2515263704314799
11166.TS.119.pangolin	Weighted NSTI	0.0662507406762751
11166.FD.0457.lechwe	Weighted NSTI	0.16156308535443528
11166.FD.0229.gibbon	Weighted NSTI	0.10925044315252153
11166.FD.0271.lion	Weighted NSTI	0.10245570257308749
11166.FD.0090.aardvark	Weighted NSTI	0.08477001988456573
11166.ZU.18228.gorilla	Weighted NSTI	0.251548874769133
11166.TS.131.steenbok	Weighted NSTI	0.16392303593358523
11166.FD.0034.rhinoceros	Weighted NSTI	0.3183040724951122
11166.FD.0486.gorilla	Weighted NSTI	0.05759569565700701
11166.ZU.18252.tamandua	Weighted NSTI	0.06492174864521237
11166.ZU.18230.mousedeer	Weighted NSTI	0.042018680946316986
11166.ZU.18255.elephant	Weighted NSTI	0.36109750103181115
11166.TS.200.mongoose	Weighted NSTI	0.12036589803961259
11166.ZU.18200.redpanda	Weighted NSTI	0.12751759740025895
11166.ZU.18193.pitviper	Weighted NSTI	0.01612086053818407
11166.FD.0299.deer	Weighted NSTI	0.19982416065091907
11166.TS.145.kudu	Weighted NSTI	0.22237904148726592
11166.FD.0438.lion	Weighted NSTI	0.09622656198604479
11166.FD.0496.deer	Weighted NSTI	0.22661367290358023
11166.ZU.18254.sloth	Weighted NSTI	0.13761058173781401
11166.ZU.18227.monitor	Weighted NSTI	0.04542155098178563
11166.FD.0088.aardvark	Weighted NSTI	0.10239230066557373
11166.TS.057.warthog	Weighted NSTI	0.2644452696919995
11166.FD.0065.deer	Weighted NSTI	0.2045812705024748
11166.FD.0048.dromedary	Weighted NSTI	0.24399278602800265
11166.TS.126.pangolin	Weighted NSTI	0.048586105581060114
11166.ZU.18248.hyrax	Weighted NSTI	0.2400721167059017
11166.TS.174.aardvark	Weighted NSTI	0.12171530635418379
11166.FD.0460.okapi	Weighted NSTI	0.20671616043304084
