SampleID	deblurred_seqs	pd_5k	shannon_5k	sample_type	preservative	sex	healthy	captive_wild	LIFE_STAGE	dataset	collector	country	Common_name	Species_name	date_collected	individual_ID	animal_ID	group_individual_ID	group_ID	Corrected_Species_name	flight_status	flight_type	query_name	ET.BodyMass.Value	ET.Diet.5Cat	ET.Diet.Fruit	ET.Diet.Inv	ET.Diet.Nect	ET.Diet.PlantO	ET.Diet.Scav	ET.Diet.Seed	ET.Diet.Vect	ET.Diet.Vend	ET.Diet.Vfish	ET.Diet.Vunk	Taxonomy_Class	Taxonomy_Family	Taxonomy_Genus	Taxonomy_Kingdom	Taxonomy_Order	Taxonomy_Phylum	Taxonomy_Species	Taxonomy_Subspecies	TimeTree_name	eltontraits_name	TimeTree_returned	LAV.ln_mass.estimate	LAV.ln_silen.estimate	LAV.ln_lilen.estimate	LAV.ln_stomas.estimate	LAV.ln_caelen.estimate	LAV.ln_sivol.estimate	LAV.ln_nsa.estimate	LAV.ln_mass.imputed	LAV.ln_silen.imputed	LAV.ln_lilen.imputed	LAV.ln_stomas.imputed	LAV.ln_caelen.imputed	LAV.ln_sivol.imputed	LAV.ln_nsa.imputed	pd_10k	shannon_10k	Winker Corrected Species name	migratory	Citation for migratory status	Migration Notes
11166.JCK.10213.FecalFTA	46686	17.59557182	5.150400009	feces	fta			wild		Lutz_bats	Holly Lutz	Uganda		Mabuya		JCK.10213	JCK.10213			Mabuya	flightless	flightless	Mabuya													Lepidosauria	Scincidae	Mabuya	Metazoa	Squamata	Chordata			Mabuya mabouya		Mabuya_mabouya															18.17702506	5.17277096				
11166.JCK.10214.FecalFTA	81371	16.63814636	4.61210278	feces	fta			wild		Lutz_bats	Holly Lutz	Uganda		Mabuya		JCK.10214	JCK.10214			Mabuya	flightless	flightless	Mabuya													Lepidosauria	Scincidae	Mabuya	Metazoa	Squamata	Chordata			Mabuya mabouya		Mabuya_mabouya															19.44931062	4.603656626				
11166.JCK.10279.FecalFTA	42157	27.67103591	5.263332623	feces	fta			wild		Lutz_bats	Holly Lutz	Uganda		Bitis arietans		JCK.10279	JCK.10279			Bitis arietans	flightless	flightless	Bitis arietans													Lepidosauria	Viperidae	Bitis	Metazoa	Squamata	Chordata	Bitis arietans		Bitis arietans		Bitis_arietans															28.24201466	5.219529345				
11166.ATL.24066.tortoise	115930	69.25409175	7.218357857999999	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Aldabra giant tortoise	Aldabrachelys gigantea	10/7/15			atl.gtortoise.1	atl.gtortoise	Aldabrachelys gigantea	flightless	flightless	Aldabrachelys gigantea													Chelonia	Testudinidae	Aldabrachelys	Metazoa	Testudines	Chordata	Aldabrachelys gigantea		Aldabrachelys gigantea		Aldabrachelys_gigantea															86.24241087	7.206623209				
11166.ATL.24446.starling	113990	16.33009739	4.1961426180000005	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Amethyst starling	Cinnyricinclus leucogaster	10/7/15			atl.amethyststarling.1	atl.amethyststarling	Cinnyricinclus leucogaster	flighted	strong	Cinnyricinclus leucogaster	44.0	FruiNect	80.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Aves	Sturnidae	Cinnyricinclus	Metazoa	Passeriformes	Chordata	Cinnyricinclus leucogaster		Cinnyricinclus leucogaster		Cinnyricinclus_leucogaster	3.83702400298092	3.1710742190305	0.866512418188846	-0.7278861352358821	-0.301999640454284	0.639337678512099	3.46930393121594	True	True	True	True	True	True	True	18.38886557	4.148704626000001	Cinnyricinclus leucogaster	partial?	HBW Alive	
11166.ATL.24535.otter	104335	11.50142912	2.123947658	fecal	none	F	unknown	captive		Atlanta	Zoo Atlanta	USA	Asian small clawed otter	Aonyx cinerea	10/7/15		A51010 or A41024	atl.unknownotter.1	atl.unknownotter	Aonyx cinerea	flightless	flightless	Aonyx cinerea	3527.59		0.0	80.0	0.0	0.0	0.0	0.0	10.0	0.0	10.0	0.0	Mammalia	Mustelidae	Aonyx	Metazoa	Carnivora	Chordata	Aonyx cinerea		Aonyx cinerea		Aonyx_cinerea	8.36830697951172	5.3936235707674305	1.46568405298771	3.47327123516998	1.9539802743893502	4.44101713528371	6.22339010543899	True	True	True	True	True	True	True	17.98190799	2.105023235				
11166.ATL.24979.colobus	82304	27.77711167	5.982707756	fecal	none	F	unknown	captive		Atlanta	Zoo Atlanta	USA	black and white colobus	Colobus angolensis	10/6/15		15M009 or 15M010	atl.bwcolobus.1	atl.bwcolobus	Colobus angolensis	flightless	flightless	Colobus angolensis	9850.0		30.0	0.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammalia	Cercopithecidae	Colobus	Metazoa	Primates	Chordata	Colobus angolensis		Colobus angolensis		Colobus_angolensis	9.097282847439551	5.76773223310866	3.0062968293862795	5.070271529897849	2.9399194895189904	5.943699094341331	7.24711874127703	True	True	True	True	True	True	True	31.17220797	6.013112239				
11166.ATL.24593.lemur	44814	26.58473041	5.096281138999999	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Black and white lemur	Varecia variegata variegata	10/8/15		991008 or A91012	atl.bwlemur.1	atl.bwlemur	Varecia variegata variegata	flightless	flightless	Varecia variegata variegata	3850.0		100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammalia	Lemuridae	Varecia	Metazoa	Primates	Chordata	Varecia variegata	Varecia variegata variegata	Varecia variegata variegata		Varecia_variegata															28.12089872	5.052712668				
11166.ATL.24501.kingfisher	71167	14.02270213	3.2898886989999996	fecal	none	unknown	unknown	captive		Atlanta	Zoo Atlanta	USA	Blue breasted kingfisher	Halcyon malimbica	10/7/15		11B085 or A70007	atl.kingfisher.1	atl.kingfisher	Halcyon malimbica	flighted	strong	Halcyon malimbica	91.8	Invertebrate	0.0	70.0	0.0	0.0	0.0	0.0	10.0	10.0	10.0	0.0	Aves	Alcedinidae	Halcyon	Metazoa	Coraciiformes	Chordata	Halcyon malimbica		Halcyon malimbica		Halcyon_malimbica	4.56800983305296	3.43836612096097	1.20044927920071	1.03974893717979	0.668587780309041	0.9241029253918279	3.23933060327631	True	True	True	True	True	True	True	15.54376732	3.284964312	Halcyon malimbica	no	HBW Alive	
11166.ATL.24053.bongo	63065	41.52748733	6.865089739	fecal	none	M	unknown	captive		Atlanta	Zoo Atlanta	USA	Bongo	Tragelaphus eurycerus isaaci	10/7/15		15M001 or B01026	atl.bongo.1	atl.bongo	Tragelaphus eurycerus isaaci	flightless	flightless	Tragelaphus eurycerus isaaci	329003.11		0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	Mammalia	Bovidae	Tragelaphus	Metazoa	Cetartiodactyla	Chordata	Tragelaphus eurycerus		Tragelaphus eurycerus		Tragelaphus_eurycerus	12.287849371324802	7.4979158259070005	4.2273395777865	8.29254581356828	4.33269352588606	8.70575821559876	9.59756598185526	True	True	True	True	True	True	True	48.65682297	6.859913337999999				
