DATASET_MULTIBAR
SEPARATOR TAB
DATASET_LABEL	Diet Barchart
COLOR	#00FF00
FIELD_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
FIELD_LABELS	Fruit	Invertebrates	Nectar	Plants	Scavenging	Seeds	Meat (Ectotherms)	Meat (Endotherms)	Meat (Fish)	Meat (Unknown)
LEGEND_TITLE	Dataset legend
LEGEND_SHAPES	1	1	1	1	1	1	1	1	1	1
LEGEND_COLORS	#a6cee3	#cab2d6	#1f78b4	#33a02c	#6a3d9a	#b2df8a	#fb9a99	#e31a1c	#ff7f00	#fdbf6f
LEGEND_LABELS	Fruit	Invertebrates	Nectar	Plants	Scavenging	Seeds	Meat (Ectotherms)	Meat (Endotherms)	Meat (Fish)	Meat (Unknown)
MARGIN	0
WIDTH	200
DATA
Apteryx_australis	10.0	80.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
Apus_pacificus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquila_heliaca	0.0	0.0	0.0	0.0	10.0	0.0	20.0	70.0	0.0	0.0
Ara_ararauna	30.0	0.0	10.0	30.0	0.0	30.0	0.0	0.0	0.0	0.0
Ara_chloropterus	40.0	0.0	0.0	30.0	0.0	30.0	0.0	0.0	0.0	0.0
Aratinga_solstitialis	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arctictis_binturong	30.0	0.0	0.0	20.0	10.0	0.0	0.0	10.0	30.0	0.0
Arctocephalus_forsteri	0.0	70.0	0.0	0.0	0.0	0.0	0.0	10.0	20.0	0.0
Arctocephalus_tropicalis	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0
Ardea_herodias	0.0	30.0	0.0	0.0	0.0	0.0	10.0	10.0	50.0	0.0
Ardeotis_kori	20.0	20.0	0.0	20.0	0.0	20.0	10.0	10.0	0.0	0.0
Arenaria_interpres	0.0	80.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
Argusianus_argus	60.0	20.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
Artamus_leucorhynchus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Artibeus_glaucus	80.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Artibeus_intermedius	80.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Artibeus_jamaicensis	80.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Artibeus_lituratus	80.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Artibeus_phaeotis	80.0	10.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ateles_belzebuth	60.0	10.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0
Ateles_fusciceps_robustus	60.0	10.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0
Ateles_geoffroyi	60.0	10.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0
Ateles_hybridus	60.0	10.0	0.0	10.0	0.0	10.0	0.0	0.0	0.0	10.0
Athene_cunicularia	0.0	20.0	0.0	0.0	0.0	0.0	10.0	70.0	0.0	0.0
Axis_axis	10.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0
Axis_porcinus	10.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0
Aythya_fuligula	0.0	50.0	0.0	20.0	10.0	20.0	0.0	0.0	0.0	0.0
Balaenoptera_borealis	0.0	60.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0
Baryphthengus_martii	50.0	30.0	0.0	0.0	0.0	0.0	10.0	0.0	10.0	0.0
Batis_capensis	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Batrachostomus_auritus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bettongia_penicillata	0.0	0.0	0.0	70.0	0.0	30.0	0.0	0.0	0.0	0.0
Bombycilla_garrulus	50.0	30.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0
Bonasa_umbellus	20.0	10.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0
Bos_indicus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Bos_javanicus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Bos_taurus	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Boselaphus_tragocamelus	20.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0	0.0	0.0
Branta_canadensis	10.0	0.0	0.0	90.0	0.0	0.0	0.0	0.0	0.0	0.0
Bubo_lacteus	0.0	10.0	0.0	0.0	0.0	0.0	20.0	60.0	10.0	0.0
Bubo_virginianus	0.0	10.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0
Bubulcus_ibis	0.0	60.0	0.0	0.0	10.0	0.0	10.0	10.0	10.0	0.0
Bucephala_clangula	0.0	70.0	0.0	10.0	0.0	10.0	0.0	0.0	10.0	0.0
Buceros_bicornis	40.0	20.0	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
Bucorvus_abyssinicus	10.0	30.0	0.0	0.0	10.0	10.0	40.0	0.0	0.0	0.0
Bucorvus_leadbeateri	0.0	70.0	0.0	0.0	0.0	0.0	20.0	10.0	0.0	0.0
Budorcas_taxicolor	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0
Buteo_jamaicensis	0.0	10.0	0.0	0.0	0.0	0.0	30.0	60.0	0.0	0.0
Buteo_lagopus	0.0	10.0	0.0	0.0	0.0	0.0	0.0	80.0	10.0	0.0
Butorides_striata	0.0	30.0	0.0	0.0	0.0	0.0	30.0	0.0	40.0	0.0
Butorides_virescens	0.0	30.0	0.0	0.0	0.0	0.0	30.0	0.0	40.0	0.0
Cabassous_unicinctus	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cacatua_galerita	40.0	0.0	0.0	20.0	0.0	40.0	0.0	0.0	0.0	0.0
