DATASET_COLORSTRIP

SEPARATOR SPACE

COLOR #8ab2df

DATASET_LABEL categorical_colorstrip

Chroicocephalus_genei #000000
Chrotopterus_auritus #000000
Chrysolophus_pictus #000000
Cinclus_mexicanus #000000
Cinnyricinclus_leucogaster #000000
Cinnyris_jugularis #000000
Circus_cyaneus #000000
Cisticola_anonymus #000000
Cistothorus_palustris #000000
Claravis_pretiosa #000000
Coendou_prehensilis #FFFFFF
Coleura_afra #000000
Collocalia_esculenta #000000
Colobus_angolensis #FFFFFF
Colobus_guereza #FFFFFF
Columba_guinea #000000
Columba_livia #000000
Columbina_passerina #000000
Columbina_talpacoti #000000
Connochaetes_gnou #FFFFFF
Connochaetes_taurinus #FFFFFF
Contopus_sordidulus #000000
Contopus_virens #000000
Copsychus_albospecularis #000000
Coracina_pectoralis #000000
Coracina_striata #000000
Coragyps_atratus #000000
Corallus_hortulanus #FFFFFF
Cornufer_guentheri #FFFFFF
Corucia_zebrata #FFFFFF
Corvus_albus #000000
Corvus_corax #000000
Corvus_splendens #000000
Corynorhinus_townsendii #000000
Cosmopsarus_regius #000000
Coturnix_coturnix #000000
Crax_alberti #000000
Crocidura_denti #FFFFFF
Crocidura_luna #FFFFFF
Crocodylus_rhombifer #FFFFFF
Crocuta_crocuta #FFFFFF
Crotalus_viridis #FFFFFF
Crotophaga_sulcirostris #000000
Cryptoprocta_ferox #FFFFFF
Cuculus_fugax #000000
Cuora_bourreti #FFFFFF
Cyanerpes_cyaneus #000000
Cyanopica_cyanus #000000
Cyanoramphus_unicolor #000000
Cyclura_collei #FFFFFF
Cygnus_buccinator #000000
Cynictis_penicillata #FFFFFF
Cynomys_ludovicianus #FFFFFF
Dacelo_novaeguineae #000000
Dasyprocta_leporina #FFFFFF
Dasyprocta_punctata #FFFFFF
Dasypus_novemcinctus #FFFFFF
Delphinapterus_leucas #FFFFFF
Dendragapus_fuliginosus #000000
Dendrobates_tinctorius #FFFFFF
Dendrocygna_viduata #000000
Desmodus_rotundus #000000
Dicaeum_hypoleucum #000000
Dicaeum_trigonostigma #000000
Diceros_bicornis #FFFFFF
Dicrurus_hottentottus #000000
Dinemellia_dinemelli #000000
Dolichonyx_oryzivorus #000000
Dolichotis_patagonum #FFFFFF
Dracaena_guianensis #FFFFFF
Dromaius_novaehollandiae #FFFFFF
Drymarchon_corais #FFFFFF
Dryocopus_javensis #000000
Dryocopus_lineatus #000000
Dryocopus_pileatus #000000
Dryoscopus_cubla #000000
Ducula_bicolor #000000
Echinops_telfairi #FFFFFF
Egretta_eulophotes #000000
Eira_barbara #FFFFFF
Elaenia_frantzii #000000
Elaphe_schrenckii #FFFFFF
Elephas_maximus #FFFFFF
Emberiza_rutila #000000
Empidonax_alnorum #000000
Epomophorus_wahlbergi #000000
Eptesicus_furinalis #000000
Equus_asinus #FFFFFF
Equus_burchellii #FFFFFF
Equus_caballus #FFFFFF
Equus_grevyi #FFFFFF
Equus_hemionus #FFFFFF
Equus_przewalskii #FFFFFF
Equus_zebra #FFFFFF
Eremophila_alpestris #000000
Erethizon_dorsatum #FFFFFF
Erythrocebus_patas #FFFFFF
Erythropitta_venusta #000000
Estrilda_astrild #000000
Estrilda_melanotis #000000
Eubalaena_glacialis #FFFFFF
Eublepharis_macularius #FFFFFF
Eudocimus_ruber #000000
Eudromia_elegans #000000
Eudynamys_scolopaceus #000000
Eudyptula_minor #FFFFFF
Eulemur_rubriventer #FFFFFF
Eulemur_rufus #FFFFFF
Eumyias_panayensis #000000
Eunectes_murinus #FFFFFF
Euphagus_cyanocephalus #000000
Euphonia_fulvicrissa #000000
Euphractus_sexcinctus #FFFFFF
Euplectes_capensis #000000
Eurycea_bislineata #FFFFFF
Eurycea_longicauda #FFFFFF
Eurylaimus_steerii #000000
Eurypyga_helias #000000
Falcipennis_canadensis #000000
Falco_biarmicus #000000
Falco_cherrug #000000
Falco_peregrinus #000000
Falco_subbuteo #000000
Felis_margarita #FFFFFF
Formicarius_analis #000000
Fratercula_cirrhata #000000
Fregata_minor #000000
Fringilla_montifringilla #000000
Fukomys_damarensis #FFFFFF
Fulica_armillata #000000
Fulmarus_glacialis #000000
Galerella_pulverulenta #FFFFFF
Galictis_vittata #FFFFFF
Gallinago_gallinago #000000
Gallinula_chloropus #000000
Gallirallus_australis #FFFFFF
Gallus_gallus #000000
Garrulax_leucolophus #000000
Gavia_immer #000000
Gavia_stellata #000000
Gazella_spekei #FFFFFF
Geochelone_platynota #FFFFFF
Geopelia_cuneata #000000
Geopelia_striata #000000
Geositta_cunicularia #000000
Geospiza_difficilis #000000
Gerygone_sulphurea #000000
Giraffa_camelopardalis #FFFFFF
Glareola_pratincola #000000
Glaucidium_perlatum #000000
Glossophaga_soricina #000000
Glyphorynchus_spirurus #000000
Gonocephalus_chamaeleontinus #FFFFFF
Gopherus_berlandieri #FFFFFF
Gorilla_gorilla #FFFFFF
Goura_victoria #000000
Grammomys_macmillani #FFFFFF
Graphiurus_murinus #FFFFFF
Grus_americana #000000
Grus_carunculatus #000000
Guira_guira #000000
Gygis_alba #000000
Gymnocichla_nudiceps #000000
Habia_fuscicauda #000000
Halcyon_coromanda #000000
Halcyon_malimbica #000000
Haliaeetus_albicilla #000000
Haliaeetus_leucocephalus #000000
Haliastur_indus #000000
Harpactes_ardens #000000
Harpagus_bidentatus #000000
Helarctos_malayanus #FFFFFF
Helogale_hirtula #FFFFFF
Helogale_parvula #FFFFFF
Henicorhina_leucosticta #000000
Heterocephalus_glaber #FFFFFF
Hieraaetus_wahlbergi #000000
Himantopus_himantopus #000000
Hippopotamus_amphibius #FFFFFF
Hipposideros_caffer #000000
Hipposideros_gigas #000000
Hipposideros_ruber #000000
Hippotragus_equinus #FFFFFF
Hippotragus_niger #FFFFFF
Hirundo_rustica #000000
Histrionicus_histrionicus #000000
Hyaena_hyaena #FFFFFF
Hydrobates_castro #000000
Hylobates_lar #FFFFFF
Hylomantis_lemur #FFFFFF
Hylomyscus_denniae #FFFFFF
Hylomyscus_stella #FFFFFF
Hymenolaimus_malacorhynchos #000000
Hypargos_niveoguttatus #000000
Hypocryptadius_cinnamomeus #000000
Hypogeomys_antimena #FFFFFF
Hystrix_africaeaustralis #FFFFFF
Icteria_virens #000000
Icterus_galbula #000000
Icterus_spurius #000000
Iguana_iguana #FFFFFF
Incilius_signifer #FFFFFF
Indicator_variegatus #000000
Irena_cyanogastra #000000
Ixobrychus_cinnamomeus #000000
Ixoreus_naevius #000000
Ixos_philippinus #000000
Kaupifalco_monogrammicus #000000
Kerodon_rupestris #FFFFFF
Kobus_ellipsiprymnus #FFFFFF
Kobus_leche #FFFFFF
Lagonosticta_rhodopareia #000000
Lagonosticta_rubricata #000000
Lagopus_lagopus #000000
Lagopus_muta #000000
Lagothrix_lagotricha #FFFFFF
Lalage_nigra #000000
Lama_guanicoe #FFFFFF
Lampropeltis_alterna #FFFFFF
Lampropeltis_getula #FFFFFF
Lamprotornis_chalybaeus #000000
Laniarius_ferrugineus #000000
Laniarius_fuelleborni #000000
Lanius_collurio #000000
Lanius_cristatus #000000
Lanius_excubitor #000000
Lanius_ludovicianus #000000
Larus_canus #000000
Larus_dominicanus #000000
Larus_hyperboreus #000000
Larus_pacificus #000000
Lasiorhinus_latifrons #FFFFFF
Laterallus_jamaicensis #000000
Lemur_catta #FFFFFF
Leontopithecus_chrysomelas #FFFFFF
Leontopithecus_rosalia #FFFFFF
Lepidobatrachus_laevis #FFFFFF
Leptailurus_serval #FFFFFF
Leptotila_verreauxi #000000
Leucopsar_rothschildi #000000
Limicola_falcinellus #000000
Limnodromus_scolopaceus #000000
Limosa_lapponica #000000
Litoria_infrafrenata #FFFFFF
Lonchura_fringilloides #000000
Lonchura_malacca #000000
Lophostoma_brasiliense #000000
Lophostoma_evotis #000000
Lophuromys_flavopunctatus #FFFFFF
Loriculus_philippensis #000000
Loxia_leucoptera #000000
Loxodonta_africana #FFFFFF
Luscinia_svecica #000000
Lutra_lutra #FFFFFF
Lycaon_pictus #FFFFFF
Lynx_rufus #FFFFFF
Mabuya_mabouya #FFFFFF
Macaca_silenus #FFFFFF
Macaca_sylvanus #FFFFFF
Macaca_thibetana #FFFFFF
Macronous_striaticeps #000000
Macropus_parma #FFFFFF
Macropus_rufogriseus #FFFFFF
Macropus_rufus #FFFFFF
Macroscelides_proboscideus #FFFFFF
Macrotis_lagotis #FFFFFF
Malacochersus_tornieri #FFFFFF
Malacoptila_semicincta #000000
Manacus_vitellinus #000000
Mandrillus_leucophaeus #FFFFFF
Manis_pentadactyla #FFFFFF
Manis_temminckii #FFFFFF
Manouria_impressa #FFFFFF
Mantella_aurantiaca #FFFFFF
Martes_pennanti #FFFFFF
Megalurus_palustris #000000
Megaptera_novaeangliae #FFFFFF
Melaenornis_pallidus #000000
Melanerpes_aurifrons #000000
Melopsittacus_undulatus #000000
Melospiza_melodia #000000
