	observed_otus
11166.ELMT14B.14	116
11166.SCC14.2F	1200
11166.SCC14.9F	460
11166.SCC14.21	66
11166.SCC14.15F	689
11166.TS.125.pangolin	155
11166.TS.032.cheetah	69
11166.FD.0489.squirrel	411
11166.FD.0308.guenon	551
11166.FD.0437.hyena	170
11166.TS.003.rhinoceros	458
11166.TS.180.waterbuck	828
11166.FD.0280.lion	48
11166.ZU.18210.bear	42
11166.TS.118.pangolin	612
11166.FD.0305.guenon	371
11166.ZU.18237.lemur	221
11166.TS.004.mongoose	230
11166.FD.0007.bharal	1046
11166.ZU.18217.lemur	345
11166.FD.0127.tamarin	131
11166.TS.050.springbok	859
11166.TS.113.pangolin	42
11166.TS.082.pangolin	63
11166.FD.0493.wildebeest	975
11166.FD.0066.deer	1080
11166.FD.0029.elephant	499
11166.FD.0008.bharal	1053
11166.FD.0301.macaque	417
11166.TS.157.gemsbok	1055
11166.TS.031.cheetah	66
11166.FD.0478.tamarin	261
11166.FD.0491.koala	146
11166.TS.143.kudu	341
11166.FD.0482.colobus	384
11166.FD.0325.wallaby	354
11166.FD.0105.jaguar	140
11166.ZU.18207.rhinoceros	772
11166.FD.0501.springbok	799
11166.TS.116.pangolin	64
11166.ZU.18259.gecko	306
11166.TS.080.mongoose	192
11166.FD.0040.giraffe	991
11166.FD.0454.mara	618
11166.FD.0183.lemur	310
11166.FD.0453.nilgai	1241
11166.ZU.18202.orangutan	344
11166.FD.0108.jaguar	57
11166.ZU.18191.rhinoceros	723
11166.FD.0071.guanaco	1270
11166.FD.0268.wilddog	74
11166.FD.0112.jaguar	100
11166.TS.063.kudu	839
11166.ZU.18265.horse	936
11166.FD.0027.elephant	501
11166.FD.0055.tortoise	361
11166.FD.0037.rhinoceros	631
11166.FD.0072.guanaco	1220
11166.TS.120.pangolin	1008
11166.ZU.18214.lemur	327
11166.TS.137.aardvark	333
11166.FD.0051.watusi	793
11166.FD.0126.hyena	364
11166.FD.0186.marmoset	96
11166.FD.0440.jaguar	65
11166.FD.0463.meerkat	186
11166.FD.0502.gorilla	593
11166.FD.0247.capuchin	51
