	observed_otus
11166.TS.069.porcupine	424
11166.TS.121.pangolin	576
11166.ZU.18243.elephant	474
11166.FD.0133.tamarin	1020
11166.FD.0142.loris	286
11166.FD.0168.cheetah	120
11166.FD.0103.lion	95
11166.FD.0298.bear	82
11166.TS.096.rockrabbit	299
11166.FD.0295.wolf	119
11166.TS.078.mongoose	174
11166.FD.0444.gorilla	362
11166.FD.0143.loris	320
11166.TS.117.pangolin	274
11166.FD.0130.tamarin	170
11166.FD.0192.monkey	38
11166.TS.038.warthog	439
11166.ZU.18262.iguana	337
11166.FD.0083.mousedeer	341
11166.FD.0122.hyena	269
11166.FD.0189.monkey	179
11166.TS.090.nyala	793
11166.TS.112.pangolin	44
11166.TS.083.pangolin	77
11166.FD.0475.tamarin	220
11166.ZU.18203.leopard	119
11166.FD.0115.serval	135
11166.ZU.18249.zebra	758
11166.FD.0481.monkey	346
11166.TS.049.springbok	826
11166.TS.002.rhinoceros	464
11166.TS.133.duiker	531
11166.ZU.18197.tapir	612
11166.TS.099.zebra	1003
11166.FD.0078.eland	693
11166.FD.0136.tamarin	154
11166.FD.0469.macaque	394
11166.ZU.18232.lemur	368
11166.TS.177.hyena	198
11166.ZU.18253.lemur	159
11166.FD.0198.meerkat	169
11166.ZU.18257.anteater	193
11166.FD.0093.caracal	121
11166.TS.124.pangolin	123
11166.TS.059.wildebeest	1006
11166.FD.0480.saki	399
11166.ZU.18234.redpanda	915
11166.FD.0488.squirrel	372
11166.TS.005.jackal	213
11166.TS.051.springbok	919
11166.FD.0487.panda	31
11166.ZU.18268.orangutan	538
11166.TS.119.pangolin	87
11166.FD.0457.lechwe	969
11166.FD.0229.gibbon	229
11166.FD.0271.lion	59
11166.FD.0090.aardvark	312
11166.ZU.18228.gorilla	720
11166.TS.131.steenbok	614
11166.FD.0034.rhinoceros	611
11166.FD.0486.gorilla	233
11166.ZU.18252.tamandua	200
11166.ZU.18230.mousedeer	294
11166.ZU.18255.elephant	747
11166.TS.200.mongoose	159
11166.ZU.18200.redpanda	1322
11166.ZU.18193.pitviper	94
11166.FD.0299.deer	1211
11166.TS.145.kudu	813
11166.FD.0438.lion	95
11166.FD.0496.deer	768
11166.ZU.18254.sloth	355
11166.ZU.18227.monitor	154
11166.FD.0088.aardvark	115
11166.TS.057.warthog	354
11166.FD.0065.deer	1117
11166.FD.0048.dromedary	1033
11166.TS.126.pangolin	309
11166.ZU.18248.hyrax	402
11166.TS.174.aardvark	294
11166.FD.0460.okapi	673
11166.SFM.18277.manatee	277
11166.FD.0277.monkey	159
11166.TS.151.zebra	748
11166.ZU.18236.gecko	400
11166.FD.0024.elephant	601
11166.TS.056b.chat	1105
11166.TS.123.pangolin	93
11166.TS.043.chat	359
11166.FD.0139.loris	265
11166.ZU.18239.elephant	837
11166.TS.056.chat	113
11166.TS.085.porcupine	471
11166.TS.207.wilddog	220
11166.FD.hippo.antelope	902
11166.TS.086.baboon	482
11166.FD.0125.wolf	108
11166.FD.0428.springbok	979
11166.TS.150.zebra	1051
11166.FD.0259.monkey	188
11166.ZU.18195.wolf	86
11166.FD.0425.lutung	487
11166.TS.115.pangolin	52
11166.FD.0013.addax	1216
11166.FD.0020.antelope	1070
11166.ZU.18242.sloth	375
11166.TS.182.giraffe	749
11166.TS.166.giraffe	872
11166.FD.0282.otter	27
11166.FD.0174.antelope	817
11166.TS.129.pangolin	569
11166.TS.161.antelope	794
11166.TS.042.warthog	442
11166.TS.152.eland	951
11166.FD.0458.elephant	755
11166.TS.114.pangolin	29
11166.FD.0031.rhinoceros	564
11166.FD.0087.aardvark	155
11166.FD.0241.wallaby	599
11166.FD.0316.mangabey	534
11166.TS.135.aardvark	286
11166.ZU.18199.gorilla	613
11166.TS.153.eland	984
11166.TS.088.wildebeest	862
11166.TS.015.flycatcher	459
11166.TS.209.wilddog	160
11166.TS.065.baboon	480
11166.TS.155.hartebeest	967
11166.TS.061.gemsbok	1029
11166.ZU.18231.monitor	147
11166.FD.0045.ass	948
11166.ZU.18240.elephant	748
11166.ZU.18223.gecko	264
11166.FD.0099.wolf	76
11166.FD.0084.mousedeer	224
11166.TS.006.rhino	622
11166.TS.040.warthog	376
11166.FD.0499.fox	149
11166.TS.067.porcupine	351
11166.TS.208.wilddog	131
11166.FD.0456.mongoose	114
11166.ZU.18269.anteater	191
11166.FD.0500.meerkat	83
11166.FD.0089.aardvark	89
11166.FD.0313.mangabey	445
11166.FD.0077.eland	713
11166.TS.127.pangolin	1212
11166.TS.175.aardvark	276
11166.TS.098.rockrabbit	348
11166.TS.176.zebra	971
11166.TS.142.kudu	781
11166.ZU.18245.elephant	749
11166.TS.210.wilddog	212
11166.TS.170.impala	772
11166.TS.159.antelope	838
11166.FD.0019.antelope	1055
11166.TS.172.impala	832
11166.FD.0014.addax	1188
11166.FD.0244.tortoise	494
11166.FD.0439.cougar	72
11166.TS.146.rhinoceros	670
11166.FD.0171.antelope	844
11166.TS.168.impala	908
11166.FD.0147.capuchin	94
11166.ZU.18208.tapir	373
11166.ZU.18190.lion	129
11166.SFM.18281.manatee	279
11166.TS.100.eland	785
11166.artic.squirrel.673	602
11166.artic.squirrel.9532	511
11166.artic.squirrel.8846	525
11166.artic.squirrel.9674	767
11166.artic.squirrel.659	602
11166.artic.squirrel.665	441
11166.artic.squirrel.9074	805
11166.artic.squirrel.8832	479
11166.artic.squirrel.648	472
11166.artic.squirrel.593	452
11166.artic.squirrel.8850	633
11166.artic.squirrel.8840	544
11166.artic.squirrel.651	435
11166.Ostrich1.ACAD.4	385
11166.artic.squirrel.8851	426
11166.artic.squirrel.9525	514
11166.artic.squirrel.9540	694
11166.artic.squirrel.9592	545
11166.artic.squirrel.8852	585
11166.artic.squirrel.9569	575
11166.emu.ACAD.3	33
11166.cassowary.ACAD.2	102
11166.artic.squirrel.8844	556
11166.artic.squirrel.9555	590
11166.artic.squirrel.655	567
11166.Rhea.ACAD.5	424
11166.artic.squirrel.9561	655
11166.artic.squirrel.645	247
11166.artic.squirrel.9599	614
11166.artic.squirrel.8853	551
11166.Ostrich2.ACAD.6	358
11166.artic.squirrel.636	480
11166.artic.squirrel.8739	699
11166.fmnh.198	28
11166.fmnh.2570	452
11166.fmnh.1148	162
11166.fmnh.2577	141
11166.fmnh.2553	174
11166.fmnh.1100	28
11166.fmnh.228	38
11166.fmnh.2843	104
11166.fmnh.1062	13
11166.fmnh.2579	16
11166.fmnh.2515	12
11166.fmnh.2860	14
11166.fmnh.2566	46
11166.fmnh.239	44
11166.fmnh.1059	60
11166.fmnh.2814	52
11166.fmnh.2855	46
11166.fmnh.2527	14
11166.fmnh.2839	17
11166.fmnh.1057	70
11166.fmnh.2797	123
11166.fmnh.1108	52
11166.fmnh.1064	48
11166.fmnh.1147	173
11166.fmnh.2578	132
11166.fmnh.1095	54
11166.fmnh.2827	431
11166.fmnh.229	71
11166.fmnh.2539	141
11166.fmnh.2571	62
11166.fmnh.1149	59
11166.fmnh.2555	69
11166.fmnh.199	16
11166.fmnh.1072	265
11166.fmnh.1083	222
11166.fmnh.2505	66
11166.fmnh.2791	81
11166.fmnh.2815	118
11166.fmnh.1133	84
11166.fmnh.1117	95
11166.fmnh.1110	26
11166.fmnh.238	30
11166.fmnh.1071	73
11166.fmnh.1087	100
11166.fmnh.1139	53
11166.fmnh.235	13
11166.fmnh.2857	25
11166.fmnh.2818	73
11166.fmnh.1078	122
11166.fmnh.2816	20
11166.fmnh.2563	22
11166.fmnh.285	174
11166.fmnh.2859	22
11166.fmnh.2540	67
11166.fmnh.1137	85
11166.fmnh.2564	56
11166.fmnh.1089	64
11166.fmnh.1091	135
11166.fmnh.1144	18
11166.fmnh.1143	162
11166.fmnh.1096	103
11166.fmnh.2534	263
11166.fmnh.2824	114
11166.fmnh.1102	120
11166.fmnh.2575	41
11166.fmnh.209	13
11166.fmnh.262	51
11166.fmnh.1105	140
11166.fmnh.2823	21
11166.fmnh.275	76
11166.fmnh.1136	39
11166.fmnh.1112	27
11166.fmnh.1115	109
11166.fmnh.2858	18
11166.fmnh.1131	68
11166.fmnh.2562	92
11166.fmnh.2817	24
11166.fmnh.219	41
11166.fmnh.2856	14
11166.fmnh.2875	96
11166.fmnh.1070	102
11166.fmnh.247	15
11166.fmnh.263	60
11166.fmnh.2585	487
11166.fmnh.2574	17
11166.fmnh.2550	144
11166.fmnh.1061	32
11166.fmnh.1129	97
11166.fmnh.1142	176
11166.fmnh.1097	188
11166.fmnh.1090	105
11166.fmnh.1066	139
11166.fmnh.2808	114
11166.fmnh.222	74
11166.fmnh.1318	88
11166.fmnh.162	57
11166.fmnh.2603	97
11166.fmnh.2704	117
11166.fmnh.922	28
11166.fmnh.2627	161
11166.fmnh.1274	35
11166.fmnh.2620	35
11166.fmnh.1011	203
11166.fmnh.2703	158
11166.fmnh.2604	42
11166.fmnh.1257	14
11166.fmnh.2729	178
11166.fmnh.411	73
11166.fmnh.1259	71
11166.fmnh.2661	20
11166.fmnh.992	337
11166.fmnh.1216	145
11166.fmnh.2629	178
11166.fmnh.1332	42
11166.fmnh.892	28
11166.fmnh.995	15
11166.fmnh.1235	47
11166.fmnh.2666	24
11166.fmnh.908	27
11166.fmnh.1174	13
11166.fmnh.332	32
11166.fmnh.934	19
11166.fmnh.2712	337
11166.fmnh.1262	61
11166.fmnh.1209	45
11166.fmnh.2736	224
11166.fmnh.182	97
11166.fmnh.2615	12
11166.fmnh.1024	67
11166.fmnh.409	100
11166.fmnh.1023	29
11166.fmnh.917	56
11166.fmnh.1309	228
11166.fmnh.1265	28
11166.fmnh.2788	228
11166.fmnh.958	27
11166.fmnh.157	99
11166.fmnh.1293	82
11166.fmnh.2770	123
11166.fmnh.956	20
11166.fmnh.1323	64
11166.fmnh.2653	73
11166.fmnh.1165	37
11166.fmnh.919	32
11166.fmnh.1046	18
11166.fmnh.1193	192
11166.fmnh.400	90
11166.fmnh.2670	54
11166.fmnh.1223	39
11166.fmnh.1162	113
11166.fmnh.975	26
11166.fmnh.1207	416
11166.fmnh.2781	286
11166.fmnh.1175	25
11166.fmnh.1317	43
11166.fmnh.1183	334
11166.fmnh.1056	91
11166.fmnh.2643	54
11166.fmnh.433	67
11166.fmnh.434	17
11166.fmnh.1156	27
11166.fmnh.1233	102
11166.fmnh.410	177
11166.fmnh.1258	26
11166.fmnh.1184	58
11166.fmnh.1310	378
11166.fmnh.2743	55
11166.fmnh.308	22
11166.fmnh.2698	89
11166.fmnh.164	46
11166.fmnh.2702	67
11166.fmnh.924	26
11166.fmnh.1010	64
11166.fmnh.1275	50
11166.fmnh.325	17
11166.fmnh.163	55
11166.fmnh.2776	39
11166.fmnh.2780	28
11166.fmnh.1206	93
11166.fmnh.2739	674
11166.fmnh.982	184
11166.fmnh.1249	105
11166.fmnh.1040	44
11166.fmnh.1047	30
11166.fmnh.1192	187
11166.fmnh.985	126
11166.fmnh.383	44
11166.fmnh.2755	21
11166.fmnh.918	19
11166.fmnh.1201	145
11166.fmnh.422	83
11166.fmnh.1322	47
11166.fmnh.932	57
11166.fmnh.2714	198
11166.fmnh.1264	269
11166.fmnh.2789	97
11166.fmnh.447	68
11166.fmnh.2637	87
11166.fmnh.2730	124
11166.fmnh.1022	35
11166.fmnh.2613	93
11166.fmnh.1049	189
11166.fmnh.1247	199
11166.fmnh.2614	36
11166.fmnh.2630	32
11166.fmnh.1263	29
11166.fmnh.2713	196
11166.fmnh.935	54
11166.fmnh.953	54
11166.fmnh.2775	235
11166.fmnh.1298	128
11166.fmnh.2783	344
11166.fmnh.1160	15
11166.fmnh.402	28
11166.fmnh.387	89
11166.fmnh.986	238
11166.fmnh.2675	121
11166.fmnh.1044	34
11166.fmnh.970	59
11166.fmnh.2772	73
11166.fmnh.1321	114
11166.fmnh.289	64
11166.fmnh.931	14
11166.fmnh.444	96
11166.fmnh.1267	186
11166.fmnh.915	38
11166.fmnh.1021	27
11166.fmnh.187	25
11166.fmnh.180	82
11166.fmnh.1198	239
11166.fmnh.1260	41
11166.fmnh.936	40
11166.fmnh.1314	214
11166.fmnh.2664	753
11166.fmnh.945	13
11166.fmnh.430	107
11166.fmnh.1214	102
11166.fmnh.929	23
11166.fmnh.2764	24
11166.fmnh.1155	24
11166.fmnh.990	36
11166.fmnh.396	124
11166.fmnh.2740	83
11166.fmnh.1171	48
11166.fmnh.1313	364
11166.fmnh.2725	434
11166.fmnh.398	61
11166.fmnh.1189	197
11166.fmnh.1255	29
11166.fmnh.2701	64
11166.fmnh.2649	59
11166.fmnh.1271	31
11166.fmnh.1013	30
11166.fmnh.1014	53
11166.fmnh.2625	32
11166.fmnh.2706	147
11166.fmnh.2632	132
11166.fmnh.1261	45
11166.fmnh.429	85
11166.fmnh.2735	269
11166.fmnh.978	39
11166.fmnh.1199	28
11166.fmnh.1027	98
11166.fmnh.1020	162
11166.fmnh.2611	46
11166.fmnh.989	91
11166.fmnh.170	58
11166.fmnh.914	78
11166.fmnh.1266	154
11166.fmnh.2635	64
11166.fmnh.336	74
11166.fmnh.1320	361
11166.fmnh.1203	141
11166.fmnh.2785	186
11166.fmnh.2650	35
11166.fmnh.1268	29
11166.fmnh.420	86
11166.fmnh.1166	10
11166.fmnh.1304	96
11166.fmnh.1190	227
11166.fmnh.188	173
11166.fmnh.386	104
11166.fmnh.1197	52
11166.fmnh.2673	11
11166.fmnh.179	81
11166.fmnh.976	26
11166.fmnh.1303	57
11166.fmnh.427	41
11166.fmnh.2657	156
11166.fmnh.1299	20
11166.fmnh.2723	164
11166.fmnh.368	40
11166.fmnh.1253	39
11166.fmnh.327	15
11166.fmnh.921	20
11166.fmnh.2624	179
11166.fmnh.1012	28
11166.fmnh.438	31
11166.fmnh.1188	125
11166.fmnh.2607	163
11166.fmnh.1036	14
11166.fmnh.902	111
11166.fmnh.1170	28
11166.fmnh.2694	169
11166.fmnh.1053	84
11166.fmnh.412	173
11166.fmnh.2662	52
11166.fmnh.1288	11
11166.fmnh.928	53
11166.fmnh.1154	19
11166.fmnh.896	24
11166.fmnh.1215	126
11166.fmnh.1212	97
11166.fmnh.2641	59
11166.fmnh.431	170
11166.fmnh.1331	69
11166.fmnh.2762	165
11166.fmnh.329	29
11166.fmnh.1181	63
11166.fmnh.1054	50
11166.fmnh.996	49
11166.fmnh.1236	96
11166.fmnh.1177	91
11166.fmnh.1315	202
11166.elephant.Atl.861041	616
11166.elephant.Hous.25695	472
11166.Ele.max.ind.SanDi29.2	578
11166.Ele.max.max.SanDi26.1	730
11166.elephant.Hous.25332	621
11166.elephant.Hous.19269	644
11166.Ostrich.Hous.25735	452
11166.Cassowary.Hous.24664	59
11166.Apt.aus.man.SanDi8.1	232
11166.Ele.max.ind.SanDi23.1	687
11166.elephant.Atl.861004	506
11166.Mac.par.SanDi22.1	521
11166.elephant.Hous.24329	694
11166.Ele.max.max.SanDi30.2	613
11166.Mac.par.SanDi9.3	456
11166.Ostrich.Hous.25734	435
11166.ATL.24546.ferret	571
11166.NATL.24691.lemur	45
11166.FD.0265.impala	902
11166.NATL.24736.tamarin	78
11166.NATL.24101.kori	88
11166.NATL.24590.rat	607
11166.NZ.16976.A2.NorthIslandWeka	81
11166.AR.M23.flyingsquirrel	264
11166.NATL.25040.lizard	386
11166.NATL.24092.hornbill	24
11166.ATL.24050.lion	61
11166.ATL.24069.tortoise	560
11166.AR.M40.flyingsquirrel	230
11166.NATL.24347.crane	325
11166.NATL.24308.duck	47
11166.NZ.16957.B.kea	71
11166.ATL.25162.frog	164
11166.NATL.24322.raven	912
11166.ATL.24504.skink	513
11166.NATL.24293.bird	43
11166.FD.0223.kudu	1091
11166.FD.0369.pig	106
11166.NATL.24376.ibis	136
11166.NATL.24744.crane	78
11166.ATL.24527.pheasant	526
11166.AS.214.wren	53
11166.NATL.24696.tamarin	64
11166.NATL.25047.alligator	381
11166.lamprey.24170.lamprey	615
11166.ATL.24079.tiger	112
11166.AR.M63.flyingsquirrel	251
11166.NATL.24245.rat	95
11166.AS.130.blackbird	120
11166.NZ.16949.B2.NewZealandbrownteal	204
11166.AR.M1.flyingsquirrel	258
11166.Amphioxus.1.lancelet	603
11166.AR.M7.flyingsquirrel	225
11166.AR.M65.flyingsquirrel	235
11166.NZ.16902.B.diamonddove	74
11166.NATL.24326.b.duck	86
11166.NATL.24689.meerkat	237
11166.FD.boa1a.boa	298
11166.NZ.16994.A.kaka	262
11166.NATL.24664.saki	979
11166.vbat.DR07.colon.vbat	16
11166.ATL.24503.cockatoo	1184
11166.FD.03050.oryx	1255
11166.ATL.24436.conure	151
11166.NATL.25056.kiwi	177
11166.lamprey.24171.lamprey	588
11166.ATL.25136.fossa	57
11166.AR.M46.flyingsquirrel	82
11166.NZ.17027.A.Antipodesparakeet	123
11166.NATL.25020.snake	654
11166.AR.M25.flyingsquirrel	220
11166.NZ.16840.A1.lessershorttailedbat	210
11166.NATL.24260.grosbeak	206
11166.NATL.24338.bird	96
11166.ATL.24564.meerkat	187
11166.NATL.24280.kingfisher	207
11166.AS.084.swallow	128
11166.NATL.25016.python	663
11166.NZ.16973.A2.blueduck	216
11166.ATL.24467.tortoise	439
11166.NZ.16846.A1.NewZealandbrownteal	437
11166.NATL.24629.chinchilla	54
11166.NATL.24327.bird	146
11166.NATL.25042.b.gecko	289
11166.lamprey.24172.lamprey	1414
11166.NATL.24307.smew	150
11166.NATL.25184.anteater	337
11166.lamprey.35981.lamprey	36
11166.NZ.16856.B.kea	65
11166.EN.7.5.lice	47
11166.NATL.24586.tenrec	297
11166.ATL.24552.vulture	73
11166.NZ.16977.A1.spottedshag	38
11166.NATL.24723.bobcat	242
11166.NZ.16881.B.dotterel	72
11166.ATL.25138.chameleon	103
11166.AS.156.blackbird	52
11166.NATL.24754.squirrel	34
11166.AS.211.longspur	32
11166.NATL.24690.hornbill	87
11166.ATL.24457.anole	252
11166.UM.24981.finch	56
11166.ATL.24438.sheep	997
11166.AE7VJ10.A.vulture	203
11166.EN.7.10.lice	65
11166.ATL.24419.budgerigar	136
11166.AS.031.mockingbird	13
11166.ATL.24435.crow	14
11166.NATL.24357.kingfisher	74
11166.FD.02770.gemsbok	1093
11166.EN.1.5.lice	118
11166.AS.122.meadowlark	43
11166.NATL.25026.flamingo	227
11166.ATL.24569.frogmouth	226
11166.NATL.24688.ferret	167
11166.AS.071.blackbird	66
11166.NZ.16892.B.NorthIslandbrownkiwi	94
11166.NATL.24241.vulture	38
11166.AR.M69.flyingsquirrel	98
11166.ATL.25170.basilisk	239
11166.FD.0306.oryx	1109
11166.FD.0472.lemur	197
11166.ATL.24566.meerkat	202
11166.NATL.24733.sandcat	183
11166.EN.2.1.flea	111
11166.FD.boa2b.boa	382
11166.AS.172.woodpecker	47
11166.ATL.24055.b.hornbill	25
11166.FD.0455.ass	928
11166.NATL.24660.hyrax	55
11166.NATL.24340.tanager	813
11166.FD.0360.lemur	219
11166.vbat.DR1.anal.vbat	725
11166.vbat.DR12.colon.vbat	26
11166.NATL.24346.egret	11
11166.ATL.24480.teal	282
11166.EN.2.4.flea	158
11166.NZ.16953.B.NorthIslandbrownkiwi	371
11166.NZ.16960.B2.blueduck	189
11166.ATL.24063.goat	956
11166.NATL.25033.tortoise	307
11166.ATL.24573.flamingo	519
11166.NATL.24728.b.gecko	184
11166.ATL.24047.gecko	221
11166.NZ.16842.B1.lessershorttailedbat	103
11166.ATL.24462.chameleon	468
11166.NATL.24389.bird	215
11166.NZ.16952.B.morepork	402
11166.UM.24951.finch	404
11166.NATL.24697.meerkat	153
11166.NZ.16978.A.kea	321
11166.NZ.17027.B.Antipodesparakeet	111
11166.lamprey.24175.lamprey	137
11166.ATL.25142.chameleon	353
11166.FD.01980.springbok	518
11166.NATL.25026.b.flamingo	449
11166.AS.041.dickcissel	66
11166.NATL.25061.peacock	348
11166.NATL.24095.kori	344
11166.AR.M71.flyingsquirrel	225
11166.AS.061.rail	203
11166.AR.M12.flyingsquirrel	243
11166.NATL.25059.rhea	472
11166.lamprey.24169.lamprey	673
11166.NATL.25067.seriema	286
11166.vbat.DR5.anal.vbat	40
11166.NZ.16969.A.bellbird	56
11166.EN.3.2.tick	63
11166.NATL.25028.howler	292
11166.FD.0156.wildebeest	417
11166.NATL.25057.hornbill	252
11166.NATL.25024.bear	335
11166.AR.M52.flyingsquirrel	254
11166.UM.25010.finch	123
11166.NATL.25181.anteater	202
11166.NATL.24355.bird	301
11166.AR.M31.flyingsquirrel	213
11166.NATL.25179.bear	847
11166.AS.182.blackbird	121
11166.ATL.24570.warthog	368
11166.EN.3.7.tick	48
11166.FD.0372.sheep	894
11166.ATL.24049.a.ostrich	452
11166.NATL.24671.sandcat	42
11166.NATL.24721.bear	347
11166.ATL.24551.pheasant	284
11166.ATL.24577.kookaburra	70
11166.ATL.24529.pheasant	321
11166.NATL.24369.kiwi	345
11166.NATL.24238.duck	282
11166.ATL.25151.dragon	481
11166.AR.M37.flyingsquirrel	116
11166.NATL.24342.mallard	142
11166.EN.9.7.tick	69
11166.NATL.24707.crane	250
11166.FD.0366.baboon	474
11166.NZ.16996.B.NorthIslandkaka	85
11166.lamprey.35987.lamprey	62
11166.NZ.16875.B.CampbellIslandflightlessteal	564
11166.AS.165.grosbeak	96
11166.NATL.24678.titi	115
11166.AR.M54.flyingsquirrel	517
11166.NZ.16973.B1.blueduck	142
11166.NZ.16956.A.NorthIslandbrownkiwi	410
11166.NATL.24296.woodpecker	34
11166.NATL.24232.chinchilla	141
11166.NATL.24749.armadillo	414
11166.AS.054.cowbird	42
11166.FD.02950.takin	826
11166.AS.208.blackbird	119
11166.NATL.24289.smew	339
11166.UM.24943.finch	684
11166.FD.0354.monkey	97
11166.FD.0238.impala	911
11166.AR.M14.flyingsquirrel	86
11166.ATL.24514.flamingo	161
11166.NATL.24289.b.smew	618
11166.EN.9.8.tick	68
11166.EN.1.10.lice	261
11166.NATL.24656.fox	218
11166.NATL.24734.ferret	151
11166.NATL.24262.dove	103
11166.AR.M77.flyingsquirrel	133
11166.vbat.DR20.colon.vbat	19
11166.NATL.25054.saki	280
11166.NATL.24674.meerkat	233
11166.FD.02680.zebra	717
11166.ATL.25155.dragon	445
11166.ATL.24430.iguana	257
11166.NATL.25180.bear	104
11166.NZ.17022.A.NorthIslandkaka	99
11166.ATL.24476.b.thrush	62
11166.NATL.25045.tortoise	207
11166.NATL.24299.mousebird	551
11166.AS.013.chat	12
11166.NATL.24328.duck	222
11166.NZ.16976.B2.NorthIslandWeka	52
11166.AS.007.cardinal	27
11166.NATL.25032.lizard	222
11166.FD.0450.agouti	667
11166.ATL.24476.a.thrush	65
11166.ATL.24062.rhinoceros	859
11166.NATL.24320.dove	59
11166.FD.02590.zebra	1023
11166.NZ.16949.B1.NewZealandbrownteal	187
11166.AR.M18.flyingsquirrel	223
11166.ATL.25135.chameleon	294
11166.UM.24892.finch	1047
11166.ATL.24545.hawk	21
11166.FD.02410.zebra	1044
11166.AR.M58.flyingsquirrel	277
11166.ATL.25161.dragon	431
11166.NATL.24740.armadillo	231
11166.ATL.25171.gecko	165
11166.ATL.24547.macaw	73
11166.ATL.24064.bongo	903
11166.lamprey.24177.lamprey	3
11166.NZ.16878.A.NorthIslandbrownkiwi	120
11166.AS.087.flycatcher	45
11166.NATL.24727.turtle	576
11166.AS.069.wren	13
11166.NATL.24728.a.gecko	163
11166.ATL.25153.toad	257
11166.NATL.24705.skunk	285
11166.NATL.24104.crane	216
11166.NZ.16865.B.kea	83
11166.AS.125.blackbird	49
11166.AS.223.blackbird	166
11166.NATL.25058.sloth	260
11166.NATL.24672.sandcat	241
11166.ATL.24049.b.ostrich	434
11166.NATL.25042.a.gecko	362
11166.vbat.DR16.colon.vbat	17
11166.NATL.24309.owl	127
11166.NATL.24714.lion	259
11166.NZ.16846.A2.NewZealandbrownteal	477
11166.NATL.25068.b.emu	69
11166.UM.25011.finch	423
11166.NATL.24630.nakedmolerat	34
11166.NATL.24345.tanager	139
11166.NATL.24396.grosbeak	10
11166.EN.9.10.tick	72
11166.AS.195.wren	111
11166.NZ.16954.B.NorthIslandbrownkiwi	146
11166.lamprey.24176.lamprey	211
11166.vbat.J4.anal.bat	116
11166.NZ.16977.B2.spottedshag	15
11166.NATL.25080.anteater	66
11166.UM.24982.finch	720
11166.FD.18924.saki	277
11166.ATL.25126.zebra	765
11166.Amphioxus.4.lancelet	742
11166.AS.083.swallow	202
11166.ATL.25147.anole	213
11166.AS.153.blackbird	240
11166.NZ.16966.A.Antipodesparakeet	194
11166.NATL.25021.lemur	156
11166.NATL.25077.duck	374
11166.ATL.24499.hornbill	161
11166.NATL.24679.tamarin	304
11166.ATL.24075.a.kori	170
11166.NZ.17000.A1.littlebluepenguin	95
11166.vbat.DR21.colon.vbat	16
11166.NATL.24653.crane	56
11166.AS.186.woodpecker	16
11166.ATL.24535.otter	121
11166.lamprey.24183.lamprey	447
11166.NATL.24668.tamandua	68
11166.FD.0388.baboon	247
11166.AR.M62.flyingsquirrel	269
11166.ATL.24558.chinchilla	409
11166.AS.086.oriole	35
11166.AR.M22.flyingsquirrel	208
11166.NATL.25019.rhea	288
11166.NATL.24088.kori	33
11166.NZ.16964.B1.takahe	125
11166.NZ.16863.A.NewZealandbrownteal	348
11166.NATL.24233.shres	336
11166.NZ.17015.B.kaka	64
11166.NATL.25014.crane	220
11166.NATL.24313.oropendula	225
11166.ATL.24073.a.kori	129
11166.AR.M41.flyingsquirrel	274
11166.NZ.17009.B.kaka	272
11166.NZ.16964.B2.takahe	100
11166.AS.154.cowbird	23
11166.AS.062.tanager	51
11166.AR.M47.flyingsquirrel	87
11166.NATL.25062.anteater	915
11166.ATL.24429.dragon	406
11166.AS.089.pewee	23
