	faith_pd
11166.ELMT14B.14	13.755982480570097
11166.SCC14.2F	95.896211127835
11166.SCC14.9F	36.91426836950999
11166.SCC14.21	10.8488667368
11166.SCC14.15F	58.46308901719899
11166.TS.125.pangolin	18.678365818910002
11166.TS.032.cheetah	10.8759724618001
11166.FD.0489.squirrel	40.868996381935
11166.FD.0308.guenon	40.798123276472694
11166.FD.0437.hyena	19.52748652536701
11166.TS.003.rhinoceros	41.20471757205861
11166.TS.180.waterbuck	61.077709502171814
11166.FD.0280.lion	6.7310639058901005
11166.ZU.18210.bear	6.139991194120001
11166.TS.118.pangolin	57.62666959329361
11166.FD.0305.guenon	31.920970320307717
11166.ZU.18237.lemur	24.00719047309861
11166.TS.004.mongoose	22.644601705082
11166.FD.0007.bharal	71.6772725038701
11166.ZU.18217.lemur	32.016568907600984
11166.FD.0127.tamarin	15.84103057721
11166.TS.050.springbok	63.72691201475774
11166.TS.113.pangolin	5.264334019320102
11166.TS.082.pangolin	10.158949706790102
11166.FD.0493.wildebeest	68.12972088020639
11166.FD.0066.deer	72.8971433730185
11166.FD.0029.elephant	49.333492644363915
11166.FD.0008.bharal	68.1994580045202
11166.FD.0301.macaque	33.26768111848541
11166.TS.157.gemsbok	74.284206384785
11166.TS.031.cheetah	8.1824718595001
11166.FD.0478.tamarin	25.479241794946997
11166.FD.0491.koala	20.682041356028996
11166.TS.143.kudu	28.47472546427399
11166.FD.0482.colobus	36.962304648882586
11166.FD.0325.wallaby	31.729184052381004
11166.FD.0105.jaguar	14.441936444420099
11166.ZU.18207.rhinoceros	65.938610761619
11166.FD.0501.springbok	57.24716676991001
11166.TS.116.pangolin	6.860014497329999
11166.ZU.18259.gecko	30.2423759444595
11166.TS.080.mongoose	19.613339959247003
11166.FD.0040.giraffe	68.01471830859211
11166.FD.0454.mara	53.93660806497699
11166.FD.0183.lemur	32.33239967584059
11166.FD.0453.nilgai	82.62284008432437
11166.ZU.18202.orangutan	36.068626988509706
11166.FD.0108.jaguar	7.418141321340101
11166.ZU.18191.rhinoceros	58.08856158473721
11166.FD.0071.guanaco	79.5650042923563
11166.FD.0268.wilddog	10.317241836756997
11166.FD.0112.jaguar	12.412614851330105
11166.TS.063.kudu	62.762787432945125
11166.ZU.18265.horse	72.13585088525433
11166.FD.0027.elephant	46.148823496343006
11166.FD.0055.tortoise	35.7308470464181
11166.FD.0037.rhinoceros	56.096427507643
11166.FD.0072.guanaco	79.9452507624625
11166.TS.120.pangolin	72.60033278530707
11166.ZU.18214.lemur	31.330864267914492
11166.TS.137.aardvark	30.791262483403003
11166.FD.0051.watusi	57.2390461039637
11166.FD.0126.hyena	28.951513909764994
11166.FD.0186.marmoset	13.69009533527
11166.FD.0440.jaguar	8.9795497620701
11166.FD.0463.meerkat	21.274509767410102
11166.FD.0502.gorilla	52.2612365938386
11166.FD.0247.capuchin	8.396803161140001
11166.TS.069.porcupine	37.449835681292605
11166.TS.121.pangolin	47.241881809624594
11166.ZU.18243.elephant	44.470575195793984
11166.FD.0133.tamarin	80.19401997475639
11166.FD.0142.loris	31.26739181312801
11166.FD.0168.cheetah	13.597034819010098
11166.FD.0103.lion	10.1025009399001
11166.FD.0298.bear	8.775652347909999
11166.TS.096.rockrabbit	38.151458970846
11166.FD.0295.wolf	15.177671233216998
11166.TS.078.mongoose	18.711871875287
11166.FD.0444.gorilla	32.516245419029204
11166.FD.0143.loris	34.172342018931104
11166.TS.117.pangolin	29.545500317204016
11166.FD.0130.tamarin	18.508797433250002
11166.FD.0192.monkey	6.652840361419999
11166.TS.038.warthog	44.10030024229711
11166.ZU.18262.iguana	31.640536721236987
11166.FD.0083.mousedeer	30.09427190885899
11166.FD.0122.hyena	26.235566146612
11166.FD.0189.monkey	19.530643808367
11166.TS.090.nyala	56.1697584379605
11166.TS.112.pangolin	6.514849834890001
11166.TS.083.pangolin	9.72097461992
11166.FD.0475.tamarin	21.409359549908004
11166.ZU.18203.leopard	14.5975535126381
11166.FD.0115.serval	15.338378840200098
11166.ZU.18249.zebra	60.62515774105
11166.FD.0481.monkey	29.653539110275005
11166.TS.049.springbok	57.3280608707078
11166.TS.002.rhinoceros	42.300842884080005
11166.TS.133.duiker	44.19167897728941
