	shannon
11166.ELMT14B.14	2.153134718788719
11166.SCC14.2F	8.071452385609671
11166.SCC14.9F	4.5065850886477055
11166.SCC14.21	3.4806742589120234
11166.SCC14.15F	4.513152723978445
11166.TS.125.pangolin	4.280736316244641
11166.TS.032.cheetah	4.138946105116925
11166.FD.0489.squirrel	6.246554115830214
11166.FD.0308.guenon	7.253532296310251
11166.FD.0437.hyena	5.341894789201835
11166.TS.003.rhinoceros	5.33476513118005
11166.TS.180.waterbuck	6.823210919939793
11166.FD.0280.lion	3.3315677261740526
11166.ZU.18210.bear	3.1507389467603963
11166.TS.118.pangolin	5.704901064496605
11166.FD.0305.guenon	5.614996488179676
11166.ZU.18237.lemur	4.273245446089249
11166.TS.004.mongoose	6.011521167328702
11166.FD.0007.bharal	7.877866760153196
11166.ZU.18217.lemur	5.823861379451524
11166.FD.0127.tamarin	4.457998486705819
11166.TS.050.springbok	7.242133580329518
11166.TS.113.pangolin	1.8465465087961337
11166.TS.082.pangolin	3.0443215267450996
11166.FD.0493.wildebeest	7.704117365252539
11166.FD.0066.deer	8.400381261017149
11166.FD.0029.elephant	6.189640979970631
11166.FD.0008.bharal	7.70293621290966
11166.FD.0301.macaque	6.246872395965486
11166.TS.157.gemsbok	8.158705713770583
11166.TS.031.cheetah	2.9623989182390806
11166.FD.0478.tamarin	5.245561101230837
11166.FD.0491.koala	4.9971539433839665
11166.TS.143.kudu	2.868297279656127
11166.FD.0482.colobus	6.467857693483581
11166.FD.0325.wallaby	5.962215756598267
11166.FD.0105.jaguar	4.613043491458659
11166.ZU.18207.rhinoceros	7.608768822228206
11166.FD.0501.springbok	6.663246756569434
11166.TS.116.pangolin	0.8814914737518884
11166.ZU.18259.gecko	5.289449323814781
11166.TS.080.mongoose	4.859395302118006
11166.FD.0040.giraffe	7.751087966579313
11166.FD.0454.mara	7.059896582777586
11166.FD.0183.lemur	6.019012904887573
11166.FD.0453.nilgai	8.275524353782599
11166.ZU.18202.orangutan	4.82208912719496
11166.FD.0108.jaguar	3.902963485433597
11166.ZU.18191.rhinoceros	6.9488335196429984
11166.FD.0071.guanaco	8.494616349210954
11166.FD.0268.wilddog	3.670040163465024
11166.FD.0112.jaguar	3.936431217047801
11166.TS.063.kudu	7.337362006424015
11166.ZU.18265.horse	7.776787395775794
11166.FD.0027.elephant	6.094138886140018
11166.FD.0055.tortoise	5.894644770932133
11166.FD.0037.rhinoceros	7.0525083270181845
11166.FD.0072.guanaco	8.353223309367937
11166.TS.120.pangolin	7.1765738547308535
11166.ZU.18214.lemur	3.907235319778186
11166.TS.137.aardvark	5.107765145111775
11166.FD.0051.watusi	7.130503343853247
11166.FD.0126.hyena	6.136098283771277
11166.FD.0186.marmoset	4.553501074417218
11166.FD.0440.jaguar	3.796429080457389
11166.FD.0463.meerkat	4.604120983725991
11166.FD.0502.gorilla	6.728634596214267
11166.FD.0247.capuchin	3.1384445339787788
11166.TS.069.porcupine	6.026466649171643
11166.TS.121.pangolin	6.531034285730504
11166.ZU.18243.elephant	6.387306559729356
11166.FD.0133.tamarin	7.401636364239515
11166.FD.0142.loris	5.4963118396505575
11166.FD.0168.cheetah	4.8823461206541285
11166.FD.0103.lion	4.584280578714813
11166.FD.0298.bear	3.1805964284147787
11166.TS.096.rockrabbit	5.5323005584527225
11166.FD.0295.wolf	4.469949092711927
11166.TS.078.mongoose	5.1053244699608955
11166.FD.0444.gorilla	5.680453427683967
11166.FD.0143.loris	5.551179694499096
11166.TS.117.pangolin	3.1678599647297467
11166.FD.0130.tamarin	5.012225572759576
11166.FD.0192.monkey	2.2749597004741324
11166.TS.038.warthog	7.139496477589061
11166.ZU.18262.iguana	4.0084013862281145
11166.FD.0083.mousedeer	3.440474016473362
11166.FD.0122.hyena	5.410632710025592
11166.FD.0189.monkey	3.9232527991509127
11166.TS.090.nyala	7.645080325527477
11166.TS.112.pangolin	1.851838157821734
11166.TS.083.pangolin	3.0031434625707787
11166.FD.0475.tamarin	4.714733805796119
11166.ZU.18203.leopard	3.405479037367761
11166.FD.0115.serval	4.524946799510861
11166.ZU.18249.zebra	7.281011991686406
11166.FD.0481.monkey	5.5787006113533115
11166.TS.049.springbok	7.085143705174729
11166.TS.002.rhinoceros	5.335358502522172
11166.TS.133.duiker	6.942477250628964
11166.ZU.18197.tapir	6.528754043493953
11166.TS.099.zebra	8.191703453203578
11166.FD.0078.eland	6.942381178733015
11166.FD.0136.tamarin	4.61827089035434
11166.FD.0469.macaque	5.404095607018075
11166.ZU.18232.lemur	6.26560627611711
11166.TS.177.hyena	5.742903977781332
11166.ZU.18253.lemur	3.199363769869809
11166.FD.0198.meerkat	4.395402782867626
11166.ZU.18257.anteater	5.5170053853327605
11166.FD.0093.caracal	4.1886457350048145
11166.TS.124.pangolin	2.4521067746205807
11166.TS.059.wildebeest	7.929824415348974
11166.FD.0480.saki	6.07693740140993
11166.ZU.18234.redpanda	8.169412221801476
11166.FD.0488.squirrel	6.903784946182056
11166.TS.005.jackal	4.710525535949626
11166.TS.051.springbok	6.915113935713957
11166.FD.0487.panda	2.2558662314862077
11166.ZU.18268.orangutan	5.753727596955457
11166.TS.119.pangolin	0.5078586406843892
11166.FD.0457.lechwe	7.258170292561599
11166.FD.0229.gibbon	5.211188484581905
11166.FD.0271.lion	4.575164859312114
11166.FD.0090.aardvark	4.689811964068174
11166.ZU.18228.gorilla	6.404415328749312
11166.TS.131.steenbok	5.751841580570296
11166.FD.0034.rhinoceros	7.11318348576277
11166.FD.0486.gorilla	3.6020608094799647
11166.ZU.18252.tamandua	5.146077300202487
11166.ZU.18230.mousedeer	2.5454326202165882
11166.ZU.18255.elephant	7.4676125747484665
11166.TS.200.mongoose	4.644111945564163
11166.ZU.18200.redpanda	8.309234560915783
11166.ZU.18193.pitviper	2.8931031350901293
