	0	0.001	0.002	0.003	0.004	0.005	0.006	0.007	0.008	0.009	0.01	0.02	0.03	0.04	0.05	0.06	0.07	0.08	0.09	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1
Aerobic	2.73238430195492e-31	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735	0.0675242322913735
Anaerobic	2.73238430195492e-31	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748	0.127387646182748
Contains_Mobile_Elements	2.73238430195492e-31	0.026842160612831	0.026842160612831	0.026842160612831	0.026842160612831	0.122166458720829	0.122166458720829	0.122166458720829	0.122166458720829	0.128668153846209	0.128668153846209	0.124161282795407	0.124110590058169	0.124044425887904	0.0980796703801006	0.0980361104109626	0.0966028122170304	0.0960939041591255	0.0338849112483232	0.0338849112483232	0.0251306140128758	0.0235456851258261	0.0235460521771033	0.0235460521771033	0.0235460521771033	0.0235460521771033	0	0	0
Facultatively_Anaerobic	2.73238430195492e-31	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473	0.103789921382473
Forms_Biofilms	2.73238430195492e-31	0.128707187658914	0.128707187658914	0.128707187658914	0.128707187658914	0.128707187658914	0.128707187658914	0.128707187658914	0.128707187658914	0.128707187658914	0.128707187658914	0.128707187658914	0.0961528474416754	0.0961528474416754	0.0961528474416754	0.0949806019960363	0.0949806019960363	0.0949806019960363	0.0932605218544175	0.0932605218544175	0.0856228290286544	0.0235460521771033	0.0235460521771033	0.0235460521771033	0	0	0	0	0
Gram_Negative	2.73238430195492e-31	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222	0.0996729107248222
Gram_Positive	2.73238430195492e-31	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221	0.0996729107248221
Potentially_Pathogenic	2.73238430195492e-31	0.0248783493379526	0.0248783493379526	0.0248783493379526	0.0248783493379526	0.0248783493379526	0.0248783493379526	0.0248783493379526	0.0867844180867862	0.0867844180867862	0.0867844180867862	0.113055676255951	0.107445331202827	0.101962916493345	0.10153135130186	0.0986267472520793	0.0987061661397153	0.0985308312166852	0.0974779343294098	0.0962406677068791	0.0892523836901983	0.0235460521771033	0.0235460521771033	0.0235460521771033	0.0235460521771033	0.0235460521771033	0	0	0
Stress_Tolerant	2.73238430195492e-31	0.0345927673976836	0.0345927673976836	0.0345927673976836	0.0345927673976836	0.0345927673976836	0.0345927673976836	0.0345927673976836	0.0345927673976836	0.0345927673976836	0.0345927673976836	0.118010700358964	0.118010700358964	0.112465969072487	0.112465969072487	0.106617247970988	0.103808294536613	0.103808294536613	0.102162602102355	0.102162602102355	0.100348879410007	0.0961842063094468	0.095656085698712	0.0931462765642115	0.0882989588195909	0.0882989588195909	0.0235460521771033	0.0235460521771033	0.0235460521771033
